Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ященко,Соломія,Юріївна,Жіноча,1978-06-16,Геофізик,місто Конотоп,"провулок Хотинський, буд. 16, Дубно, 58403",+380 29 533 63 87,hennadiikybkalo@example.com
Піддубний,Устим,Богданович,Чоловіча,1955-12-13,Мовознавець,хутір Слов'янськ,"проспект 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 678 кв. 60, Лебедин, 90028",+380 (47) 988-25-23,babiichukanita@example.org
Лесик,Алла,Сергіївна,Жіноча,1971-05-19,Швачка,хутір Підгородне,"вулиця Грецький, буд. 1 кв. 66, Лохвиця, 95604",063-44-04,klavdiia56@example.org
Адаменко,Данна,Михайлівна,Жіноча,1994-05-02,Підприємець,місто Ямпіль,"набережна Зарічна, буд. 869, Селидове, 33524",008 847-80-77,radchenkoherman@example.org
Василевич,Амвросій,Павлович,Чоловіча,1960-11-23,Намотувальник,місто Бершадь,"набережна Глаубермана, буд. 6, Дергачі, 09765",894-78-52,vhrechanyk@example.org
Колесниченко,Клавдія,Сергіївна,Жіноча,1953-02-05,Державний службовець,хутір Батурин,"вулиця 5-та Лінія Марії Демченко, буд. 2 кв. 476, Ялта, 50715",475-42-99,artymavrelii@example.org
Лазаренко,Данило,Дмитрович,Чоловіча,1979-11-16,Державний службовець,селище Чигирин,"вулиця Академіка Сахарова, буд. 9 кв. 772, Тульчин, 68292",067 680-50-86,tereza17@example.net
Бандура,Амалія,Вікторівна,Жіноча,1981-12-17,Водій,селище Зіньків,"вулиця Канатний, буд. 9, Радивилів, 14038",012 574-18-45,boryslavkopytko@example.org
Їжак,Василь,Вікторович,Чоловіча,1964-12-22,Програміст,селище Одеса,"парк Посівна, буд. 9 кв. 5, Решетилівка, 83191",+380 08 375 20 60,okhrymovychnataliia@example.com
Ірванець,Симон,Васильович,Чоловіча,1977-12-14,Педагог,селище Глиняни,"провулок Дельфін, буд. 078 кв. 3, Новомиргород, 48577",+380 30 080 85 50,arsenbaran@example.com
Шеремета,Лесь,Олексійович,Чоловіча,1999-01-15,Публіцист,місто Хуст,"узвіз Бандурний, буд. 41, Бар, 35318",+380 (11) 211-01-89,drozdpylyp@example.org
Сиротенко,Златослава,Дмитрівна,Жіноча,2008-09-17,Парфюмер,селище Миколаїв,"узвіз Обільний 2-й, буд. 688, Глухів, 83722",+380 99 490 26 50,kamilladavydenko@example.com
Бабко,Ярослава,Сергіївна,Жіноча,1972-08-02,Складальник,селище Шумськ,"набережна Василя Симоненка, буд. 113 кв. 31, Бар, 25098",037 022 63 97,rostyslav84@example.org
Вертипорох,Олесь,Олександрович,Чоловіча,1993-06-10,Публіцист,хутір Миронівка,"узвіз Гранатний, буд. 6 кв. 465, Гнівань, 05745",706-39-96,haidamarko@example.com
Щириця,Мілена,Іванівна,Жіноча,1991-03-23,Слідчий,селище Мерефа,"проспект Одеса-Головна, буд. 802 кв. 6, Трускавець, 26566",+380 44 988 52 35,hvashchenko@example.net
Гаврилишина,Клавдія,Володимирівна,Жіноча,1984-04-25,Промисловець,село Козятин,"провулок Лінія 44-та, буд. 7 кв. 963, Очаків, 16003",+380 25 868-54-30,erika48@example.com
Алексійчук,Варвара,Іванівна,Жіноча,1989-06-22,Головний меркшейдер,селище Чернівці,"вулиця Василя Симоненка, буд. 1, Мала Виска, 41952",009 520-34-15,viktor08@example.com
Девдюк,Людмила,Миколаївна,Жіноча,1998-10-18,Археолог,хутір Буськ,"вулиця Закарпатська, буд. 32, Буча, 65702",+380 64 313-02-92,lbevz@example.org
Медведенко,Еріка,Вікторівна,Жіноча,2007-11-13,Філолог,село Бучач,"узвіз Юхима Фесенка, буд. 14 кв. 43, Кадіївка, 62250",172-23-73,amaliiaviter@example.org
Дутка,Яків,Богданович,Чоловіча,1956-06-07,Геофізик,селище Василівка,"узвіз Вапняне селище, буд. 598, Дубляни, 12274",431 23 51,varvaradrozdenko@example.net
Гайденко,Давид,Олексійович,Чоловіча,1984-08-04,Гірничий інженер,хутір Зимогір'я,"парк Крижанівський, буд. 2 кв. 951, Бровари, 76685",+380 54 824-88-02,fdavydenko@example.com
Бараник,Альбіна,Тарасівна,Жіноча,1989-10-24,Геолог,село Ясинувата,"провулок Свободи, буд. 32 кв. 72, Луцьк, 40078",+380 25 248-99-16,ateslenko@example.org
Литвин,Василина,Вікторівна,Жіноча,2008-11-11,Режисер,хутір Сватове,"узвіз 1-й Академічний тупик, буд. 199 кв. 23, Решетилівка, 01581",877-70-10,zhukbohodar@example.com
Єременко,Нестор,Григорович,Чоловіча,2006-10-19,Кухар,хутір Нове Давидково,"парк Новаторів, буд. 30, Ізяслав, 20475",+380 27 311-54-36,danyliukmarusia@example.org
Юхименко,Веніямин,Дмитрович,Чоловіча,1963-09-28,Маркетолог,селище Чистякове,"проспект Персикова, буд. 79 кв. 927, Валки, 38726",+380 87 671 89 88,iaroslavaartymovych@example.com
Черінько,Григорій,Дмитрович,Чоловіча,1995-05-22,Кушнір,село Городище,"площа Будівельний, буд. 00 кв. 4, Рахів, 32598",045 133-05-17,odarka98@example.net
Луценко,Герман,Васильович,Чоловіча,1996-12-28,Стропальник,хутір Прип'ять,"парк Ярослава Баїса, буд. 6, Вараш, 22142",084 291-07-21,olhaaverchenko@example.net
Єсипенко,Єлисей,Павлович,Чоловіча,1962-04-30,Бухгалтер,село Тлумач,"набережна Поштовий, буд. 34 кв. 338, Богуслав, 32902",941-38-56,iashchukadam@example.org
Годунок,Макар,Тарасович,Чоловіча,2011-12-19,Паблік рилейшнз,місто Устилуг,"провулок Ботанічний, буд. 39 кв. 984, Мелітополь, 31578",+380 71 416-34-43,leopold99@example.com
Засуха,Геннадій,Васильович,Чоловіча,1981-03-06,Прокурор,хутір Миргород,"сквер 40-річчя оборони Одеси, буд. 0, Снігурівка, 08930",+380 21 351-69-43,sdutka@example.net
Вдовенко,Миколай,Володимирович,Чоловіча,1999-01-21,Акушер,селище Татарбунари,"парк Лінія 50-та, буд. 58 кв. 244, Глобине, 78719",023 655 43 13,ielysei10@example.net
Цюцюра,Віолетта,Романівна,Жіноча,1946-02-11,Педагог,селище Дружківка,"набережна Романтиків, буд. 114, Багачеве, 23073",066 746-49-70,chervonenkovarfolomii@example.net
Гайдабура,Богданна,Анатоліївна,Жіноча,2001-07-29,Мікробіолог,село Волноваха,"парк Підйомний, буд. 7 кв. 270, Ірміно, 27085",327 68 55,cshyian@example.net
Іванченко,Варвара,Миколаївна,Жіноча,1995-07-28,Реставратор,місто Бучач,"сквер Мацієвської узвіз, буд. 5 кв. 91, Хуст, 37023",+380 73 622-65-32,ypelekh@example.com
Василевич,Пріска,Анатоліївна,Жіноча,2009-05-10,Ріелтор,хутір Кальміуське,"вулиця Юннатів, буд. 095 кв. 27, Тернівка, 77049",+380 41 463 13 37,tdankiv@example.net
Вдовиченко,Наталія,Володимирівна,Жіноча,1992-05-14,Музикознавець,селище Корюківка,"парк 19-й км Старокиївської дороги, буд. 2, Золочів, 45994",+380 (06) 772-29-91,mariiamazepa@example.com
Верес,Леонід,Сергійович,Чоловіча,2008-01-29,Гицель,місто Чуднів,"площа Карпатська, буд. 185 кв. 842, Інкерман, 55372",+380 (23) 180-55-62,liliiagerega@example.org
Приходько,Марія,Михайлівна,Жіноча,1979-04-07,Професор,село Ромни,"узвіз Виноградний тупик, буд. 539, Нова Одеса, 21671",085 741 70 90,hukmaryna@example.org
Карпенко,Богдан,Олександрович,Чоловіча,1949-02-22,Композитор,місто Богуслав,"узвіз Деревообробний 3-й, буд. 125 кв. 965, Львів, 85904",+380 (08) 538-45-22,lvanchenko@example.org
Чумаченко,Теодор,Володимирович,Чоловіча,1955-01-14,Гірничий інженер,місто Могилів-Подільський,"площа Лавкова, буд. 1, Кадіївка, 76389",+380 (10) 709-64-56,olha56@example.com
Кармалюк,Августин,Михайлович,Чоловіча,1953-08-31,Парфюмер,селище Щастя,"сквер Панаса Саксаганського, буд. 799 кв. 010, Інкерман, 82506",004 382 48 99,martyn96@example.net
Юрченко,Єва,Романівна,Жіноча,1961-03-30,Євнух,хутір Звенигородка,"сквер Контрадмірала Остроградського, буд. 785 кв. 74, Кам'янка-Бузька, 44594",+380 (97) 872-11-37,bivashchenko@example.org
Архимович,Олена,Василівна,Жіноча,1960-12-03,Гірничий інженер,село Золочів,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 747 кв. 7, Верхівцеве, 90286",+380 (77) 697-81-64,teodorhuk@example.net
Дейнеко,Євген,Васильович,Чоловіча,1985-07-10,Драматург,хутір Борзна,"вулиця 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 03, Південне, 12268",101 76 99,wsheremeta@example.com
Захаренко,Степан,Олександрович,Чоловіча,2003-05-19,Громадський діяч,село Тетіїв,"шосе Петра Болбочана, буд. 810 кв. 668, Обухів, 31918",037 147 56 68,lbaranets@example.com
Зарудна,Ірина,Миколаївна,Жіноча,1994-05-26,Соціолог,місто Ужгород,"узвіз Мариністів, буд. 197 кв. 1, Добромиль, 72752",+380 40 332-51-33,tvasylechko@example.net
Забіла,Еріка,Павлівна,Жіноча,1979-10-12,Детектив,селище Олександрівськ,"сквер Лінія 35-та, буд. 7, Болехів, 10240",+380 12 405-53-72,myroslav55@example.com
Удовиченко,Світлана,Сергіївна,Жіноча,1999-09-03,Льотчик,місто Самбір,"парк Літня, буд. 23 кв. 057, Слов'янськ, 56508",+380 32 453 32 97,rostyslavdubas@example.net
Царенко,Віктор,Петрович,Чоловіча,1960-08-27,Пекар,селище Красногорівка,"шосе Василя Фащенка, буд. 9, Галич, 55430",+380 61 320-71-25,terezamazepa@example.com
Радченко,Дан,Григорович,Чоловіча,1949-04-28,Прокурор,хутір Кобеляки,"набережна Саймона Літмана, буд. 2, Іллінці, 29699",+380 80 538-44-01,boryslav40@example.com
Талан,Віктор,Богданович,Чоловіча,1955-04-26,Пекар,хутір Українка,"вулиця Рибальська балка, буд. 6 кв. 833, Харків, 66695",+380 10 251-58-07,waverchenko@example.org
Михайличенко,Ірена,Олександрівна,Жіноча,1980-09-17,Скульптор,хутір Буча,"набережна Парусна, буд. 701 кв. 2, Краматорськ, 09175",+380 82 482-26-98,kadeniukdemian@example.net
Павлик,Охрім,Вікторович,Чоловіча,1972-11-10,Археолог,місто Христинівка,"вулиця Поліська, буд. 4 кв. 9, Рожище, 62294",+380 64 793-41-09,czaiets@example.net
Заєць,Климент,Тарасович,Чоловіча,1977-03-06,Піаніст,місто Новогродівка,"проспект Лодочний, буд. 708, Бердянськ, 95130",+380 79 856-20-71,babiiiosyp@example.net
Ребрик,Алла,Андріївна,Жіноча,1968-07-20,Кінорежисер,селище Березань,"шосе Юннатів 3-й, буд. 673, Христинівка, 01901",908 05 66,adamartym@example.net
Сірченко,Петро,Степанович,Чоловіча,2011-02-13,Фермер,хутір Новомиргород,"сквер Поперечний, буд. 79 кв. 782, Новоселиця, 47610",083 116 96 05,khmarateodor@example.net
Хмара,Максим,Павлович,Чоловіча,1979-03-24,Медик,селище Луганськ,"узвіз Нафтовиків 1-й, буд. 6 кв. 63, Вугледар, 26594",+380 01 733-45-60,stanislavabramenko@example.org
Рак,Оксана,Іванівна,Жіноча,1985-01-21,Фізик,селище Пирятин,"проспект Учнівська, буд. 6, Хуст, 01270",071 12 73,vtereshchuk@example.net
Рубан,Вікторія,Іванівна,Жіноча,1956-05-19,Сантехнік,хутір Володимир-Волинський,"проспект Симфонічна, буд. 0 кв. 89, Конотоп, 24940",+380 (83) 802-45-69,snizhanavanchenko@example.net
Чала,Світлана,Василівна,Жіноча,1981-10-09,Кінорежисер,село Шостка,"шосе Абрикосовий, буд. 80, Бахмут, 94377",565-69-42,ftsybulenko@example.com
Єрмоленко,Тарас,Богданович,Чоловіча,1974-09-08,Бізнесмен,село Синельникове,"сквер Канатний, буд. 4 кв. 2, Вишгород, 40959",+380 24 784-30-30,okhrimriaboshapka@example.net
Вдовенко,Василь,Васильович,Чоловіча,1983-10-23,Вчитель,село Вознесенськ,"шосе Олександра Ройтбурда, буд. 48 кв. 54, Сторожинець, 38680",+380 60 789 75 63,kamillaopanasenko@example.com
Жарко,Давид,Олександрович,Чоловіча,2009-01-15,Паралегал,місто Гребінка,"сквер Наявний 2-й, буд. 03 кв. 318, Тисмениця, 58733",+380 01 990-86-72,vlokhrozaliia@example.com
Сімашкевич,Гордій,Миколайович,Чоловіча,1973-07-01,Доцент,село Білозерське,"площа Кипарисний 1-й, буд. 83, Болград, 79719",+380 (44) 142-08-05,iemelianenkooles@example.org
Устенко,Павло,Вікторович,Чоловіча,1968-07-29,Єгер,хутір Каховка,"набережна Студена, буд. 29 кв. 317, Чернівці, 97089",+380 (38) 261-47-77,jiukhymenko@example.com
Асаула,Мілена,Павлівна,Жіноча,1970-01-02,Фармацевт,село Мена,"набережна Василя Данилевича, буд. 599, Подільськ, 62367",+380 47 075 01 26,martynkalchenko@example.org
Саченко,Олесь,Васильович,Чоловіча,1948-06-12,Художник,село Почаїв,"парк Вапняне селище, буд. 4 кв. 68, Хуст, 26698",+380 65 260-60-14,riaboshapkaivan@example.com
Ткаченко,Альберт,Тарасович,Чоловіча,1952-03-29,Електротехнік,селище Калинівка,"вулиця Дюківська, буд. 4, Старобільськ, 15882",023 480-28-12,viktor84@example.net
Михайличенко,Едита,Вікторівна,Жіноча,1989-07-17,Композитор,місто Мерефа,"парк Андрія Музичка, буд. 89 кв. 052, Тростянець, 72600",+380 46 652 36 47,atroshchenkomykyta@example.com
Вакуленко,Наталія,Іванівна,Жіноча,1999-07-28,Державний службовець,місто Гірське,"набережна Амбулаторний 2-й, буд. 44 кв. 802, Зміїв, 26571",014 498-80-39,mtelizhenko@example.com
Христич,Василь,Тарасович,Чоловіча,1976-11-25,Кінорежисер,селище Рава-Руська,"сквер Кишинівська, буд. 81 кв. 941, Новий Буг, 60981",037 070-66-87,iosyppetrenko@example.com
Цушко,Зиновій,Володимирович,Чоловіча,1953-02-24,Перекладач,хутір Торецьк,"проспект Композитора Вербицького, буд. 23 кв. 75, Вараш, 22989",+380 40 342-40-26,vhavrysh@example.org
Матяш,Климент,Володимирович,Чоловіча,2006-10-11,Патологоанатом,хутір Іловайськ,"вулиця Музична, буд. 981, Верхньодніпровськ, 65849",+380 50 996-08-86,iosyp13@example.net
Зубко,Болеслав,Михайлович,Чоловіча,1980-09-24,Кінолог,селище Ічня,"площа 13-та ст. Великого Фонтану пляж, буд. 00 кв. 0, Чуднів, 34606",528 67 43,shamraimarko@example.net
Дзиндра,Іван,Васильович,Чоловіча,2005-10-19,Льотчик,село Синельникове,"парк Сєрогодського, буд. 23 кв. 450, Бережани, 44166",+380 83 017-87-99,bohuslava97@example.com
Джунь,Станіслав,Михайлович,Чоловіча,1952-04-07,Краєзнавець,селище Соледар,"провулок 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 7, Прип'ять, 25777",+380 45 945-43-82,azarstus@example.net
Бандурка,Єлисей,Андрійович,Чоловіча,1988-06-24,Золотар,селище Ходорів,"парк Заньковецької, буд. 3, Глухів, 97617",+380 43 617 89 41,nadiiavakulenko@example.org
Іщенко,Анастасія,Григорівна,Жіноча,1969-10-01,Піаніст,селище Белз,"площа Контрадмірала Остроградського, буд. 2 кв. 5, Кадіївка, 40388",099 847 62 80,valerii22@example.com
Артюшенко,Леопольд,Михайлович,Чоловіча,2007-06-25,Композитор,село Обухів,"площа Ждахи, буд. 33 кв. 70, Севастополь, 29078",+380 28 966-18-08,tokarivan@example.org
Байрак,Хома,Вікторович,Чоловіча,1967-02-12,Нотаріус,місто Бурштин,"площа Зелена балка, буд. 03, Сімферополь, 18470",+380 56 605-78-63,npavlychenko@example.com
Деркач,Мартин,Григорович,Чоловіча,1967-10-31,Паралегал,село Галич,"проспект Академіка Липського, буд. 68, Ківерці, 37532",722 06 72,danylobabko@example.com
Шаблій,Веніямин,Олексійович,Чоловіча,1986-03-03,Кінорежисер,село Ясинувата,"шосе Дунайська, буд. 925 кв. 984, Калинівка, 04879",070 179 23 67,iakiv04@example.com
Охримович,Амвросій,Михайлович,Чоловіча,1947-09-22,Мірошник,селище Бережани,"набережна Ольгіївський узвіз, буд. 6 кв. 535, Самар, 81847",618-06-10,teodor10@example.com
Ільченко,Назар,Михайлович,Чоловіча,2010-07-26,Доцент,селище Золоте,"шосе Професора Коровицького, буд. 86 кв. 5, Зоринськ, 68510",807 15 47,anitamalyk@example.net
Ейбоженко,Адам,Васильович,Чоловіча,2000-04-03,Письменник,селище Сокологірськ,"провулок Проїзний 2-й, буд. 437, Білозерське, 03516",045 974 50 71,vnestaiko@example.org
Гоголь-Яновський,Альберт,Олександрович,Чоловіча,1991-10-13,Маркетолог,місто Гайсин,"площа Бітумна, буд. 5, Хотин, 57090",667-04-76,iurchukostap@example.com
Башполченко,Амалія,Олександрівна,Жіноча,2010-07-02,Конструктор,місто Кіцмань,"вулиця Траса Здоров'я, буд. 15, Трускавець, 72002",001 934-17-51,bebeshkovarfolomii@example.com
Чорновіл,Левко,Богданович,Чоловіча,1995-06-19,Програміст,село Кам'янське,"проспект Каретний, буд. 253, Селидове, 33818",082 583 62 90,vfartushniak@example.org
Шведченко,Тарас,Богданович,Чоловіча,1973-05-22,Епідеміолог,місто Трускавець,"проспект Олександра Юрженка, буд. 99 кв. 503, Новогродівка, 11435",+380 (67) 123-96-55,pivanenko@example.net
Мірошниченко,Галина,Павлівна,Жіноча,1999-09-11,Золотар,місто Здолбунів,"проспект Херсонський, буд. 506 кв. 6, Корець, 84543",+380 80 865 95 15,erika99@example.org
Свистун,Устим,Олексійович,Чоловіча,1951-02-15,Шериф,хутір Краматорськ,"шосе Профспілкова, буд. 725, Інкерман, 10172",513 95 87,pavloiesypenko@example.com
Деревʼянко,Амвросій,Володимирович,Чоловіча,2000-11-24,Секретар,місто Трускавець,"парк Климовича, буд. 8, Стрий, 11129",807-40-56,cherednykklavdiia@example.com
Петренко,Еріка,Олександрівна,Жіноча,1969-03-04,Візажист,селище П'ятихатки,"узвіз Кодимський, буд. 54, Шумськ, 87923",+380 64 312-72-57,kalchenkobohuslav@example.com
Влох,Пармен,Тарасович,Чоловіча,1969-07-25,Детектив,село Перемишляни,"сквер Військовий узвіз, буд. 393, Дубно, 59260",059-22-23,marta96@example.net
Христич,Юстина,Іванівна,Жіноча,2000-01-04,Менеджер,хутір Малин,"парк 19-й км Старокиївської дороги, буд. 680, Кипуче, 76936",120-52-83,tymofiiiemets@example.net
Заїка,Климент,Богданович,Чоловіча,2011-10-16,Кушнір,місто Гайсин,"шосе Газова, буд. 2, Васильків, 35430",429-72-71,daleksiuk@example.net
Єсипенко,Максим,Юрійович,Чоловіча,1964-04-12,Лікар,селище Миронівка,"проспект Тещин міст, буд. 928 кв. 07, Пустомити, 55928",+380 27 291-76-67,oksanatereshchuk@example.com
Шеремета,Алла,Романівна,Жіноча,1983-03-29,Актор,село Дебальцеве,"сквер Лодочний, буд. 61 кв. 327, Городище, 69434",+380 57 003-30-47,mykhailyna32@example.org
Захарченко,Володимир,Степанович,Чоловіча,1994-07-25,Гірничий інженер,хутір Шепетівка,"парк Набережна, буд. 982 кв. 264, Лебедин, 66838",026 502 38 22,ielyseibabiak@example.org
Журавель,Юстина,Володимирівна,Жіноча,2011-02-03,Маркетолог,селище Глобине,"парк Ремонтна, буд. 5 кв. 77, Городенка, 87398",+380 75 077 36 89,boleslav82@example.net
Полтавець,Тетяна,Юріївна,Жіноча,2005-03-26,Епідеміолог,місто Кипуче,"парк Трамвайний, буд. 778, Лозова, 59795",035 471 06 45,emykhailiuk@example.org
Сіробаба,Мирослав,Степанович,Чоловіча,1970-01-06,Електрик,селище Дубно,"вулиця Трамвайний, буд. 68, Моршин, 85078",072 452 26 98,mykhailynatytarenko@example.org
Чекалюк,Артем,Григорович,Чоловіча,1966-10-03,Електрик,село Ровеньки,"проспект Окружна, буд. 591 кв. 05, Заставна, 46881",+380 (97) 518-16-57,vchalenko@example.org
Шеремета,Анастасія,Анатоліївна,Жіноча,1988-01-09,Співак,селище Чистякове,"проспект Квітнева, буд. 55 кв. 83, Моршин, 05577",+380 90 908 97 49,oksana11@example.com
Іващенко,Вадим,Дмитрович,Чоловіча,1958-07-19,Стоматолог,село Глобине,"узвіз Лазурний 6-й, буд. 170, Хуст, 84943",+380 76 088 14 60,varvarashutko@example.org
Ващенко-Захарченко,Леон,Васильович,Чоловіча,1999-01-03,Кур'єр,селище Кадіївка,"площа Михайла Жука, буд. 430, Хуст, 13143",+380 59 573 17 85,valerii42@example.org
Ільєнко,Дан,Вікторович,Чоловіча,1995-10-08,Петрограф,село Донецьк,"площа Миколи Троїцького, буд. 04 кв. 73, Олександрія, 28883",+380 79 145-33-60,kartiushenko@example.org
Дзиндра,Валерій,Олексійович,Чоловіча,1977-02-06,Гицель,село Ананьїв,"узвіз Краснослобідська, буд. 487 кв. 136, Судак, 74805",016 646-08-85,orestvatamaniuk@example.net
Зінкевич,Клавдія,Іванівна,Жіноча,1957-11-11,Бібліотекар,село Ворожба,"вулиця Серединський, буд. 69 кв. 5, Дубляни, 82758",+380 (40) 780-73-03,copanasenko@example.org
Хоменко,Емілія,Анатоліївна,Жіноча,1991-09-01,Золотар,селище Енергодар,"провулок Менделе Сфоріма, буд. 16 кв. 5, Гуляйполе, 22428",+380 22 165-70-93,spasshamrai@example.org
Ґоляш,Емілія,Михайлівна,Жіноча,2001-08-05,Бібліограф,хутір Баштанка,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 089, Підгайці, 37699",+380 16 265-73-89,olehduplii@example.com
Михайлюк,Ярема,Іванович,Чоловіча,1995-05-18,Круп'є,селище Дунаївці,"сквер Хімічний 3-й, буд. 2, Рівне, 70627",025 923 89 90,karpenkoielysei@example.org
Фастенко,Одарка,Володимирівна,Жіноча,1989-11-25,Машиніст,селище Болехів,"вулиця Грузинська, буд. 412, Тульчин, 05822",+380 77 990 81 91,lazarenkooleksa@example.net
Артюх,Орина,Дмитрівна,Жіноча,1975-07-07,Диригент,хутір Старокостянтинів,"шосе Павла Чубинського, буд. 7 кв. 45, Корсунь-Шевченківський, 20902",+380 48 386-49-43,dashkevychserhii@example.com
Рудик,Ярослав,Олександрович,Чоловіча,1996-11-24,Мовознавець,селище Часів Яр,"вулиця Житомирська, буд. 492, Угнів, 38426",+380 02 814-15-85,prokhiriurchyshyn@example.org
Абрамчук,Пріска,Романівна,Жіноча,1991-04-04,Дизайнер,хутір Берегове,"площа Чехівського, буд. 406, Миколаївка, 08374",+380 26 039-01-77,umanetsmaksym@example.net
Алексюк,Златослава,Андріївна,Жіноча,1973-04-24,Няня,хутір Хоростків,"вулиця Венгера, буд. 3 кв. 571, Покров, 92620",+380 75 581 49 34,rozaliiabaida@example.net
Дейнека,Костянтин,Дмитрович,Чоловіча,2007-06-23,Етнограф,місто Слов'янськ,"провулок Ботанічний, буд. 15, Сквира, 08904",+380 52 810-38-13,darynadubyna@example.com
Палій,Марʼяна,Богданівна,Жіноча,2009-05-07,Палеонтолог,селище Золотоноша,"площа Уральський, буд. 08, Яремче, 88906",734 10 08,tarasenkorostyslav@example.org
Чайка,Данна,Григорівна,Жіноча,1989-03-14,Клоун,село Шахтарське,"узвіз Партизанська, буд. 95 кв. 79, Костопіль, 57923",406 41 88,marta92@example.com
Адамчук,Леон,Богданович,Чоловіча,1964-09-19,Золотар,село Дубровиця,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 926, Яворів, 40880",278-70-64,odarkadatsiuk@example.com
Щириця,Спас,Григорович,Чоловіча,2006-09-29,Програміст,село Носівка,"сквер Деволанівський узвіз, буд. 19 кв. 094, Самар, 02755",+380 (66) 972-57-99,herman10@example.net
Овсієнко,Ілля,Олександрович,Чоловіча,1963-10-27,Швачка,село Коростишів,"вулиця Савранська, буд. 65 кв. 71, Шептицький, 05163",166-80-70,klyment34@example.net
Єрмоленко,Геннадій,Михайлович,Чоловіча,2011-05-22,Фотограф,хутір Моршин,"проспект Саксаганського, буд. 387, Лозова, 54165",027 733-36-69,izhakmyroslav@example.com
Нестайко,Прохір,Степанович,Чоловіча,1964-06-28,Електромонтер,селище Подільськ,"сквер Гранатна, буд. 1, Деражня, 76575",337-31-37,iakivkorpaniuk@example.org
Деряжний,Валентин,Володимирович,Чоловіча,1979-04-07,Акушер,село Черкаси,"площа Лузанівський 1-й, буд. 2 кв. 733, Гірник, 23505",+380 10 044-67-41,ddashenko@example.com
Чалий,Володимир,Михайлович,Чоловіча,1984-07-24,Агроном,селище Сімферополь,"сквер Красний, буд. 714, Кадіївка, 53928",731-28-88,viktor72@example.com
Дрозд,Ірена,Олександрівна,Жіноча,2005-08-17,Електромонтажник,селище Ківерці,"узвіз Бригадна, буд. 0, Олевськ, 95019",069 013-18-60,oleksakorzh@example.org
Ємець,Олекса,Андрійович,Чоловіча,1996-09-03,Науковець,селище Гайсин,"сквер Студентський, буд. 4 кв. 3, Новоазовськ, 46457",079 102-93-14,nazarhohol@example.com
Зайченко,Клавдія,Дмитрівна,Жіноча,1957-03-23,Кінокритик,місто Боярка,"провулок Дача Ковалевського, буд. 38, Коломия, 78794",+380 88 668-99-97,taras60@example.com
Запорожець,Світлана,Тарасівна,Жіноча,1980-03-31,Детектив,хутір Новогродівка,"площа Весела, буд. 147, Святогірськ, 24764",+380 15 199-34-92,kbazylevska@example.org
Стельмах,Єфрем,Юрійович,Чоловіча,1977-10-09,Гицель,селище Тараща,"парк Богдана Хмельницького, буд. 30 кв. 44, Рахів, 46611",691-41-72,solomon04@example.net
Скопенко,Прохір,Андрійович,Чоловіча,1951-11-16,Палеонтолог,селище Чуднів,"провулок Офіцерський 1-й, буд. 03, Дубляни, 98480",977 38 63,volodymyra65@example.org
Даниленко,Веніямин,Юрійович,Чоловіча,1961-11-22,Електрик,хутір Перечин,"вулиця Привозна, буд. 9 кв. 946, Ізяслав, 68362",+380 87 312-51-18,iustymshcherbak@example.net
Єрошенко,Клавдія,Василівна,Жіноча,1970-11-11,Епідеміолог,місто Світловодськ,"шосе Канатна, буд. 11 кв. 4, Нова Каховка, 34033",+380 26 762 94 25,ksheremet@example.org
Сагаль,Стефан,Степанович,Чоловіча,1970-10-21,Прокурор,село Старий Крим,"проспект Технічний, буд. 587, Краматорськ, 50443",+380 54 931-32-98,semendeisun@example.net
Парасюк,Лариса,Петрівна,Жіноча,1974-10-08,Драматург,місто Старокостянтинів,"парк Міцкевича, буд. 426 кв. 97, Броди, 16381",+380 06 946-50-15,vasylenkohavrylo@example.net
Забашта,Ганна,Олександрівна,Жіноча,1994-03-27,Громадський діяч,хутір Ужгород,"вулиця Дачний 1-й, буд. 1, Костопіль, 05952",104-74-76,leonid66@example.org
Штокало,Варфоломій,Богданович,Чоловіча,1987-08-30,Геофізик,хутір Чигирин,"площа Амбулаторна, буд. 0, Хутір-Михайлівський, 44072",+380 30 710-82-07,larysaiaremenko@example.net
Жайворон,Альберт,Анатолійович,Чоловіча,2006-08-17,Архітектор,місто Новоукраїнка,"площа Азербайджан, буд. 9 кв. 7, Підгородне, 13133",+380 36 508-08-08,masliakmartyn@example.org
Скорик,Віра,Павлівна,Жіноча,1969-01-25,Продюсер,хутір Кипуче,"площа 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 179, Славутич, 79414",+380 92 691-18-54,havrylyshynopanas@example.net
Заруба,Назар,Степанович,Чоловіча,2008-07-04,Флорист,хутір Борзна,"сквер Романтичний, буд. 42 кв. 801, Батурин, 95549",052 478-79-81,ndemydenko@example.net
Андрейко,Дмитро,Романович,Чоловіча,1997-04-01,Бізнесмен,хутір Інкерман,"набережна Юннатів, буд. 929, Рівне, 90035",+380 (15) 587-70-82,leopolddzhus@example.org
